Publisher,Website,Type of Publisher,Genres Published,Year Established,Address,Name,Title,Mission Statement / Editorial Focus,Submission Info,Distributors
"Saint Julian Press, Inc.",http://www.saintjulianpress.com/index.html,Press,"Fiction, Poetry, Reviews, Translation, Visual Art",2011,"Houston, TX",Ron Starbuck,Publisher-CEO-Executive Editor,"Saint Julian Press as a literary and educational organization embraces a vision to create a local and worldwide community. Our desire is to engage in an artistic and diverse dialogue that promotes world peace, multicultural conversations, enlightened minds, compassion, and an interfaith awareness, appreciation, and acceptance. In our mission as a new creative imprint, we aspire to identify, encourage, nurture, and share transformative literature and art of both past and living masters. While giving emerging artists, poets, and writers a place they may come home to and share their work; celebrating the lasting mystery within creation that calls humanity into an enduring relationship with one another.",,
Salt Bloom Literary Journal,http://saltbloom.org,Press,"Creative Nonfiction, Fiction, Poetry, Drama",2026,"South Windsor, CT",Editor in Chief,Editor in Chief,"Salt Bloom embodies the exquisite process of salt marking sea rock over time. Though there is mystery as the efflorescence is drawn from an evaporating sea, there is also poignancy from what remains. The earth is passionately creating for us—who are we if not instruments for creation? Salt Bloom aims to create a blooming environment in the foundations of the literary community. We seek writing that is unafraid to embrace the ugly and aim for beauty as it crystallizes on the page.",Yes Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments none Contests no Instagram https://saltbloom.lit,Fairfield University Library
Santa Fe Writers Project,http://sfwp.com/,Press,"Essays, Fiction, Poetry, Visual Art",1998,"Santa Fe, NM",Andrew Gifford,Director,"SFWP is a traditional independent press founded in 1998 dedicated to the craft of writing. We publish exciting fiction and creative nonfiction of every genre, maintain an online literary journal, and run an annual internationally-recognized Awards Program. All of our titles are distributed globally by the Independent Publishers Group and secondary rights are managed by the Susan Schulman Literary Agency.",,
Sarabande Books,http://www.sarabandebooks.org,Press,"Fiction, Poetry, Essays",1994,"Louisville, KY",Michelle Malonzo,Marketing Director,"Sarabande Books was founded in 1994 by Sarah Gorham and Jeffrey Skinner to publish poetry, short fiction, and essay; to disburse these works with diligence and integrity; and to serve as an educational resource for readers, students, and teachers of creative writing. First titles appeared in 1996, and the press currently has more than 220 titles under contract or in print, many of them prize-winning. Sarabande authors and staff members conduct an estimated 225 readings, workshops, and lectures per year, and they strive to make their programs and services accessible to all.  Sarabande Books is a nonprofit literary press founded in Louisville, Kentucky. Established in 1994 to champion poetry, fiction, and essay, we are committed to creating lasting editions that honor exceptional writing. With nearly three hundred titles in print, we have earned a dedicated readership and a national reputation as a publisher of diverse forms and innovative voices. Through our free arts programming like Sarabande Writing Labs and Flo Gault Student Poetry Prize, we are proud to invest in emerging writers and serve as an educational resource locally and nationally.  Sarabande authors have won or been short-listed for, among many others, the Pulitzer Prize, National Book Critics Circle Award, the Lenore Marshall Poetry Prize, the National Jewish Book Award, LA Times Book Prize, Barnes & Noble Discover Great New Writers Award, Lambda Literary awards, Story Prize Spotlight award, and several PEN/American honors, including the PEN/Hemingway.",No,
Saturnalia Books,http://www.saturnaliabooks.org,Press,"Poetry, Visual Art",2001,"Ardmore, PA",Timothy Liu,Publisher,"Saturnalia books’ mission is to publish literary works, primarily poetry, of high merit, by new and established writers; to encourage collaboration between poets and visual artists, particularly in book form; and to encourage the publication of literature of a non-commercial and challenging nature.",,
Scientists & Poets,https://www.scientistsandpoets.com,Press,"Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Drama, Essays",2016,"Craryville, NY",Kim Barke,President,"Our mission is to support creative writers whose talents have yet to be recognized. We are looking for work that explores the edges of the imagination, where we believe the wonders of science and art are likely to meet.","Yes Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties, copies Contests no Instagram https://www.instagram.com/scientistsandpoets","Lulu, Amazon, Walmart, Abe Books, Thrift Books, Festivals"
Scrambler Books,https://thescrambler.com,Press,"Fiction, Poetry",2003,"Davis, CA",Jeremy Spencer,Publisher,"Scrambler Books is an independent small press based in Davis, California publishing books by American writers and books in translation by international writers. For books in translation, we focus on publishing writers from Spanish and Portuguese speaking countries. We strive to publish books that challenge the reader.","Yes Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties, cash, copies Contests no Instagram https://www.instagram.com/scramblerbooks/","None currently, used to be Small Press Distribution"
Sea Crow Press LLC,http://seacrowpress.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Environment Nature, Essays, Feminist, Mystery Crime, Regional, Young Adult",2020,"Pittsfield, MA",Mary Petiet,Publisher & CEO,"Sea Crow Press is an independent publisher dedicated to literary work with a strong sense of place, voice, and connection to the natural world. Based in New England, the press publishes a curated list of fiction, nonfiction, and poetry that engages landscape, climate, and human experience with depth and precision.  Our editorial focus centers on immersive, voice-driven writing: manuscripts that demonstrate clarity of vision, control of language, and a sustained emotional resonance. We are particularly interested in eco-literature, climate fiction, memoir, and poetry shaped by environment, memory, and regional identity.  We publish a limited number of titles each year and are highly selective in building our list. In addition to open submissions, we discover writers through literary journals, recommendations, and our broader literary community.  Sea Crow Press offers traditional publishing contracts and distributes its titles in the U.S. and Canada through Simon & Schuster, with additional international distribution partners.","yes Submission Guidelines URL https://www.seacrowpress.com/submissions Reading Period Year round Response Time Due to the volume of submissions we receive, we are not able to respond to every submission individually. If your work is a strong fit for our list, we will be in touch. Charges Writers A Submission/Reading Fee no Author Payments royalties Contests no Facebook https://www.facebook.com/seacrowpress/ Instagram https://www.instagram.com/seacrow_press/","Simon & Schuster US and Canada, Gardner's UK, EBSCO, Tantor Media What Do You Look For In A Submission? We look for compelling, voice-driven writing rooted in place and the natural world. Submissions should demonstrate strong craft, emotional depth, and a clear sense of purpose, and be carefully revised. What Advice Do You Have For First-time Submitters? We encourage writers to review our catalog and consider how their work aligns with our focus on place-based, voice-driven writing. We look for carefully revised work with a clear sense of voice and intention. Who Is Your Ideal Reader? Readers who seek voice-driven, place-based literary work that explores the relationship between people, landscape, and the natural world."
Sheepshead Review,https://sheepsheadreview.com,"Magazine, Press","Fiction, Poetry, Essays, Visual Art",1975,"Green Bay, Wisconsin",Rebecca Meacham,"Advisor, Professor of English","Sheepshead Review is an international journal of art and literature directed, edited, and designed by undergraduates at the University of Wisconsin-Green Bay.  Contributors range in experience from high school students to emerging and established artists, and in location from Wisconsin to Washington to Seoul, South Korea.  Published in full-color print twice a year,  and available on ISSUU,  the journal publishes all mediums of visual art, flash fiction, short stories, creative nonfiction, and poetry.  While SHR encourages submissions from students from our  four campus locations, our journal staff adheres to (and enforces) strict ethical standards in considering these submissions.",No Charges Writers A Submission/Reading Fee no Contests no Number Of Issues Per Year 1,
Shipwreckt Books Publishing Company,http://shipwrecktbooks.press,"Magazine, Press","Fiction, Poetry, Essays, Reviews, Visual Art",2013,"Winona, Minnesota",Tom Driscoll,Managing Editor,"Shipwreckt Books publishes 4 imprints:
1. Rocket Science Press (literary fiction).
2. Up On Big Rock Poetry Series.
3. Lost Lake Folk Art (non-fiction, memoir, bio).
4. Lost Lake Folk Opera magazine (poetry, short fiction, in-depth journalism, opinion, graphic art).",No Charges Writers A Submission/Reading Fee no Contests no,
Sibling Rivalry Press,https://www.siblingrivalrypress.com,Press,"Creative Nonfiction, Fiction, Poetry",2010,"North Little Rock, AR",Bryan Borland,Publisher,"Sibling Rivalry Press is a sponsored project of Fractured Atlas, a nonprofit arts service organization. Contributions to support the operations of Sibling Rivalry Press are tax-deductible to the extent permitted by law, and your donations will directly assist in the publication of work that disturbs and enraptures.  Why We Exist: We’ve always been committed to publishing work that disturbs, enraptures, and refuses to make itself “comfortable.” We bet on unknown voices—like Ocean Vuong, Saeed Jones, and Kaveh Akbar—writers who now define a generation. We also reached back to the 80s and 90s to publish writers who risked their names in print during the AIDS crisis, writers largely forgotten by the establishment. We wanted our ages to be diverse, our faces diverse, our accents diverse. We built bridges from coasts to the South and Midwest, proving that fierce flowers grow from unexpected dirt. In short: we changed the literary world. Walk in any bookstore and you'll see names and faces we helped break through the doors.  Why It Matters: Censorship is rising around us, but every SRP book is a refusal. Our work saves lives. These books create belonging where there was isolation, love where there was fear, and survival where there was despair.",Yes Submission Guidelines URL https://www.siblingrivalrypress.com/submissions Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties Contests no Instagram https://www.instagram.com/siblingrivalrypress/,Ingram
Silent River,https://silentriver.us/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Criticism Reviews, Environment Nature, Essays, Experimental, Feminist, Interviews, Reviews, Translation, Visual Art",2010,"Irvine, CA",Kalpna Singh-Chitnis,Director,"Silent River is an independent literary and media arts initiative established in 2010 with a mission to discover, support, and celebrate voices in world literature and media arts. It serves as a platform fostering creative expression and expanding access to publication and recognition across diverse cultural and linguistic communities.  Through its imprints—River Paw Press and Life and Legends magazine—Silent River publishes poetry collections, presents literary work in translation, and curates global literary dialogue. Books published by River Paw Press have received international recognition, including finalist distinctions at the International Book Awards and the Indie Excellence Awards, as well as the Hryhorii Kochur Award conferred by the State of Ukraine.  The organization also administers annual literary awards and is developing the forthcoming Silent River International Award, honoring published works in poetry and translation while supporting an inclusive and evolving literary ecosystem.","yes Submission Guidelines URL https://silentriver.us/submit/ Reading Period Year round Response Time 3-4 months Charges Writers A Submission/Reading Fee no Author Payments royalties, cash, copies Formats paperback, print, chapbook, ebook, digital, audio, video, other Contests yes Contest Guidelines https://riverpawpress.com/submissions/ Facebook https://www.facebook.com/RiverPawPress Instagram https://www.instagram.com/river_paw_press/ Number Of Issues Per Year 4 Price Per Issue Free Subscription Price None Total Subscribers N/A (Open-access online publication; readership is not subscription-based) Total Circulation Worldwide Number Of Books Published Per Year 4-6",IngramSpark What Advice Do You Have For First-time Submitters? Read the submissions guidelines carefully before submitting your work.
Slant Books,https://slantbooks.org/,Press,"Creative Nonfiction, Fiction, Poetry, Audio, Autobiography Memoir, Criticism Reviews, Drama, Essays, Mystery Crime, Religious, Translation, Visual Art",2013,"Hansville, WA",Gregory Wolfe,Publisher & Editor,"Henry James once said: ""There is...no more nutritive or suggestive truth…than that of the perfect dependence of the 'moral' sense of a work of art on the amount of felt life concerned in producing it."" Slant is a literary press specializing in fiction, poetry, creative nonfiction, philosophy, and belles lettres. Slant books are marked by that equipoise between moral concerns and ""felt life"" as well as by the kind of meticulous craft and passion for language that are harder and harder to come by in our age of instant publishing and literary gimmickry. These are books that will lodge themselves in readers’ lives.",No Charges Writers A Submission/Reading Fee no Contests no,
Slate Roof Press,http://www.slateroofpress.com,Chapbook,Poetry,2004,"Northfield, MA",Janet MacFadyen,Managing Editor,"Now in our 18th year, Slate Roof Press is member-run and committed to publishing the best new voices in poetry with a focus on Massachusetts and regional poets. Each poet works with our member/master letterpress printer Ed Rayher to design their books, which feature letterpress covers, local artwork, special papers, and hand-sewn bindings.  We are also focused on the collaborative process among our members. Membership requires a three-year work commitment, with an average of 8-10 hours of work per month, including a monthly business meeting. Typical member tasks include reviewing manuscripts, managing consignment accounts and mailing lists, printing and assembling books, editing and design, accounting, promotion, and readings.",,
Solum Literary Press,https://www.solumpress.com,Press,"Audio, Essays, Fiction, Poetry, Visual Art",2020,"Scottsdale, AZ",Riley Bounds,,"We are a Christian small press publishing poetry chapbooks and collections, short story collections, novellas, and novels.  Our biannual literary journal, Solum Journal, features poetry, short stories, homilies, and visual art.  We primarily publish work concerning Christian theology or work which deals with the Christian life, i.e., the trials and triumphs of daily life with God.   We hope to uplift young or undiscovered Christian authors, academics, and artists, and provide a space for them to interact and grow from one another.  While we generally publish work with Christian themes, our main criteria for publication are honesty and literary merit.  God’s truth can be found in all forms of art and literature, just as He’s found in all creation (Psalm 19).  So long as a piece doesn’t denigrate the Christian worldview — e.g., espouse worldviews like nihilism or conflicting religious traditions —, then we welcome it.  Your work doesn’t need to directly pertain to Christian theology or contain Christian themes for consideration.",No,
South Broadway Press,https://www.southbroadwaypress.org,Press,"Poetry, Criticism Reviews, Essays, Experimental, Interviews, Reviews",2018,"Denver, Colorado",Brice Maiurro,Editor-in-Chief,"Our Mission  Our mission is to provide a platform for ideas that provide alternatives to the harmful systems and ideologies that we historically have and continue to live among. We are interested in work that points us towards symbiosis with not just other humans, but with all beings in this moment, all beings past, and those future beings that will be impacted by the choices we collectively, and individually, make today. We focus our attention on love as a guiding force. Not a love that only reactively supports those who have been afflicted by oppression, but a love that is willing to disrupt, disobey, and proactively prevent and redirect the potential forthcoming affliction around us. A love that is resolute in its boundaries for itself and others. A love that takes the form of dissent, resistance, and in the words of John Lewis, a love that is willing to “get into good trouble”.  South Broadway Press is interested in publishing weird, gorgeous, and revolutionary poetry.",No Charges Writers A Submission/Reading Fee no Contests no,
Spout Press,https://www.spoutpress.org/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Drama, Essays, Experimental, Visual Art",1989,"Minneapolis, MN",Michelle Filkins,Editor,"Spout Press publishes and promotes the finest in contemporary experimental writing — mentoring young writers and bringing new and/or under-appreciated voices to the attention of a larger audience. This is accomplished through the publishing of books and the production of live events within the community. Both strive to combine artistic genres to facilitate dialogue between the film, music, visual art, and literary communities creating synergy that expands possibilities for both artists and audiences.",No Charges Writers A Submission/Reading Fee no Contests no,
Spuyten Duyvil,http://www.spuytenduyvil.net,Press,"Audio, Essays, Fiction, Graphic Novels Comics, Poetry, Translation, Visual Art",1982,"NY, 11217",Tod Thilleman,,"SD welcomes work from all, and does not discriminate based on country, creed, color, sex organs, sex identity, preferred sex positions, heart's desire, age, eye color, sports agility, handedness, or lunar sign.",,
Stalking Horse Press,https://www.stalkinghorsepress.com,Press,"Fiction, Poetry, Criticism Reviews, Experimental, Graphic Novels Comics, Mystery Crime, Sci Fi Fantasy Speculative",2015,"Santa Fe, NM",James Reich,Founder / Publishing Editor,"Since 2015, the mission of Stalking Horse Press has been to publish innovative literature by writers with distinctive aesthetics, a sense of style, and of literature as dialogue involving, as Eliot put it, 'tradition and the individual talent.'",Yes Submission Guidelines URL https://www.stalkinghorsepress.com/submit/ Reading Period Year round Charges Writers A Submission/Reading Fee no Author Payments royalties Contests no Facebook https://www.facebook.com/stalkinghorsepress Instagram https://www.instagram.com/stalkinghorsepress/,Stalking Horse Press and Ingram
Stellaria Creative Company,https://www.stellariacreativecompany.com/,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Audio, Drama, Environment Nature, Experimental, Feminist, Graphic Novels Comics, Interviews, Mystery Crime, Sci Fi Fantasy Speculative, Young Adult",2013,"Scotts Valley, CA",Jeanette Bent,Publisher,"Stellaria Creative Company specializes in publishing musical theatre scripts, graphic novels, comic books, and illustration books. We are especially interested in listing those voices and stories that are often go underrepresented. We operate from a place of truth, beauty, and magic.",Yes,
Sterncastle Publishing,https://sterncastle.org,Press,"Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Drama, Environment Nature, Feminist, Graphic Novels Comics, Horror Thriller Suspense, Humor, Mystery Crime, Regional, Sci Fi Fantasy Speculative, Young Adult",2022,"Newport, Oregon",Don Gomez,Publisher,"Sterncastle Publishing is an independent, traditional publisher of fiction, folklore, poetry, memoir, and biography.  Our mission is to create more opportunities for publication for authors who identify in groups that are historically underrepresented in mainstream publishing, including but not limited to authors who identify as Black, Latino, Indigenous, veterans, LGBTQ+, and adaptive/differently-abled.",Yes,
Stillhouse Press,http://www.stillhousepress.org/,Press,"Essays, Fiction, Poetry, Visual Art",2014,"Virginia, 22030",Marcos L. Martinez,Editor in Chief,"Stillhouse Press is committed to publishing writers, both emerging and established, whose work affirms the enduring power of the written word to inform and delight.  We are an independent, student-run nonprofit press based out of Northern Virginia, and work in collaboration with the annual Fall for the Book festival.",,
Strange Incorporated,https://strangeincorporated.org,Press,"Fiction, Poetry, Visual Art",2014,"Queens, NY",Aishah Alam,President of Strange Inc.,Our Mission is to elevate the authentic voices of Muslim women.,,
Sundress Publications,http://www.sundresspublications.com,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir",2000,"Oak Ridge, TN",Erin Elizabeth Smith,Executive Director,"A 501(c)(3) non-profit literary press collective founded in 2000, Sundress Publications is entirely volunteer-run, publishes chapbooks and full-length works in both print and digital formats, and hosts a variety of online journals. Our mission is to champion great work—especially by persons under-represented in literary publishing—and we welcome writers and artists regardless of race, sexual orientation, gender identity/expression, disability, religion, class, veteran status, age, and educational background.  Sundress Publications works closely with its authors, artists, and contributors, providing feedback and assistance through every stage of the publication process. Our aesthetic sensibilities run the gamut from traditional to innovative; we do not align ourselves with a single school or style. We seek works in all genres by intelligent, creative, and compassionate humans that speak to other intelligent, creative, and compassionate humans. In many ways, Sundress Publications envisions the manuscripts we publish as concept albums, not merely as collections of hot singles. We are most interested in the overall effect created by the artist, how the parts act in concert to create the whole.",No Charges Writers A Submission/Reading Fee no Contests no,
Switchback Books,https://www.switchbackbooks.com/,Press,Poetry,2006,"Broomfield, CO",Mackenzie Carignan,Co-Editor-in-Chief,"Switchback Books challenges gender inequity in literary publishing by producing and promoting books of poetry by women and non-binary authors. Publishing exclusively women and non-binary poets comprises a feminist act. We aim to change the unbalanced ratio of genders represented in literary publishers’ catalogs, making women’s voices and perspectives accessible to the literary community and the general public.",no Charges Writers A Submission/Reading Fee no Author Payments copies Contests yes Contest Guidelines https://www.switchbackbooks.com/submissions,Asterism
Tamara MC Mag & Press,https://tamaramc.com/,"Magazine, Press","Creative Nonfiction, Poetry, Cross Genre Hybrid, Audio, Autobiography Memoir, Criticism Reviews, Environment Nature, Essays, Experimental, Feminist, Humor, Interviews, Political, Regional, Religious, Reviews",2025,"Tucson, AZ",Tamara MC,Dr.,"Mission Statement for Dr. Tamara MC Mag & Press  Dr. Tamara MC Mag & Press is dedicated to raising awareness about coercive control and gender-based violence. Our mission is to provide a platform that amplifies voices of those affected by these issues, encouraging understanding and action through compelling and authentic storytelling. We aim to create a community where writers and readers can engage in meaningful dialogue that promotes change and supports victims.  Editorial Statement  Vision: We believe in the power of literature to educate and advocate for victims of coercive control and gender-based violence. Our goal is to use storytelling to illuminate these issues and foster social change.  Commitment to Diversity and Advocacy: Our publication focuses on giving a voice to those marginalized by gender-based violence, including women, non-binary, and LGBTQ+ individuals. We prioritize stories that provide insight into the experiences of these groups, aiming to break the silence that often surrounds their suffering.  Editorial Focus: We specialize in creative nonfiction that explores personal and systemic aspects of coercive control and gender-based violence. We look for submissions that are insightful and informative, challenging societal norms and encouraging discussions that can lead to change.  Collaborative Process: We recognize the sensitivity required in handling stories about coercive control and gender-based violence. Our editorial process is supportive and respectful, helping contributors express their truths while protecting their privacy and dignity.  Quality and Integrity: Quality writing and ethical publishing are crucial, especially when dealing with sensitive topics. We ensure that all pieces meet high standards of sensitivity and accuracy, providing a respectful and impactful reading experience.  Engagement and Outreach: Through readings, workshops, and discussions, we engage with our readers and the wider community. These activities are designed to spread knowledge, foster empathy, and encourage collective action against coercive control and gender-based violence.  Dr. Tamara MC Mag & Press strives to make a meaningful impact by publishing stories that not only reflect the realities of victims but also guide society towards understanding and action. Through our work, we contribute to the ongoing fight against abuse and inequality.",No Contests no,
Tender Buttons Press,http://www.tenderbuttonspress.com,Press,"Poetry, Translation, Visual Art",1989,"New York, NY",Lee Ann Brown,Editrix,"In the aesthetic vein of namesake Gertrude Stein, Tender Buttons has published experimental women's and gender expansive poetry since 1989.",,
The 3rd Thing,https://the3rdthing.press,Press,"Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Essays, Experimental, Feminist, Graphic Novels Comics, Visual Art",2019,"Olympia, WA",Anne de Marcken,Editor/Publisher,"The 3rd Thing is an independent press dedicated to publishing necessary alternatives. Every year or so we publish a cohort of projects representing in form, content and perspective our interdisciplinary, intersectional priorities. We think of each project in the cohort as a break in the stockade—a way out of the settlement and into the wilderness. Come through.  We publish work primarily by artists and writers who identify as members of traditionally marginalized groups, primarily Indigenous people, womxn, queer people and people of color. Often our books are the result of an artist working in a non-dominant discipline—a playwright writes a book of poems, a theater-maker writes a book of essays, a filmmaker writes a book of theory…. And while our emphasis is on print traditions, our projects may take any number of forms: books, broadsides, performances, installations, colloquia, video anthologies, etc.  “The third thing” is the idea that emerges when we use imagination instead of compromise to solve a problem, meet a need, repair an injury, right a wrong, answer a question, question an answer, to get where we’re going, to go somewhere new.",No Charges Writers A Submission/Reading Fee no Contests no,
The American Poetry Review,https://www.aprweb.org/,"Magazine, Press","Fiction, Poetry, Essays, Reviews, Translation, Visual Art",1972,"Philadelphia, PA",Elizabeth Scanlon,Editor in Chief,"The American Poetry Review is dedicated to reaching a worldwide audience with a diverse array of the best contemporary poetry and literary prose. APR also aims to expand the audience interested in poetry and literature, and to provide authors, especially poets, with a far-reaching forum in which to present their work. The American Poetry Review has been in continuous publication since 1972 and has presented the work of over 8,000 writers.",No Charges Writers A Submission/Reading Fee no Contests no,
The Antonym Collections,https://antonymcollection.com/,"Magazine, Online, Press","Creative Nonfiction, Fiction, Poetry, Autobiography Memoir, Essays, Experimental, Feminist, Graphic Novels Comics, Horror Thriller Suspense, Interviews, Mystery Crime, Reviews, Sci Fi Fantasy Speculative, Translation, Young Adult",2023,"South 24 Parganas, West Bengal, India",Biswadip Chakraborty,Founder,"The Antonym Collections is a publishing house focused on projects, education, workshop to build and enhance translation skills and connect global literary community through translation and transformation of literary text.",No Charges Writers A Submission/Reading Fee no Contests no,
The Baffler,https://thebaffler.com/,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Criticism Reviews, Environment Nature, Essays, Experimental, Feminist, Humor, Interviews, Political, Regional, Reviews, Sci Fi Fantasy Speculative, Translation, Visual Art",1988,"New York, NY",Bidi Choudhury,Strategic Director & Managing Editor,"The Baffler is America’s leading voice of incisive and unconventional left-wing political criticism, cultural analysis, short stories, poems, and art. Founded in 1988 by Thomas Frank and Keith White as “the journal that blunts the cutting edge,” the magazine is currently edited by Matthew Shen Goodman and headquartered in New York. It prints five print issues annually and publishes online nearly every day of the workweek. The Baffler is owned by the not-for-profit Baffler Foundation, a 501(c)(3) organization.",,
The Birren Center for Autobiographical Studies,https://thebirrencenter.org/,Press,"Fiction, Poetry, Essays, Reviews, Translation, Visual Art",1998,"Laguna Woods, CA",Heather Truett,Editor,"The Birren Center is dedicated to enriching lives through the art of life story writing and sharing. We believe in the transformative power of life stories to connect generations and build community, bridge diversity, and make us whole - one story at a time. We are committed to research and enriching lives through the Guided Autobiography experience.",Yes Reading Period Year round Charges Writers A Submission/Reading Fee no Contests no,
The Brussels Review,https://thebrusselsreview.com,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Autobiography Memoir, Criticism Reviews, Environment Nature, Erotica, Essays, Experimental, Feminist, Flash Fiction, Graphic Novels Comics, Horror Thriller Suspense, Humor, Interviews, Mystery Crime, Political, Regional, Religious, Reviews, Sci Fi Fantasy Speculative, Translation, Visual Art, Young Adult",2024,"Lennik, Belgium",Dritan Kiçi,Publishing Editor,"The Brussels Review amplifies global voices in literature, with a special focus on non-native English writers and translations. Rooted in Brussels yet international in scope, we publish fearless, boundary-crossing work that reflects the diversity and complexity of the world. Guided by a commitment to literary merit, freedom of expression, and community reinvestment, we strive to create a vibrant platform where no subject is taboo, and no voice is silenced.",No Charges Writers A Submission/Reading Fee no Contests no,
The Journal of Experimental Fiction,https://www.experimentalfiction.com,Press,"Audio, Essays, Fiction, Poetry",1986,"Arlington Heights, IL",Eckhard Gerdes,Founder/Editor-in-Chief,"The Journal of Experimental Fiction, or JEF, was founded to draw attention to incredible works of innovative fiction writing. JEF has been proud to introduce the reading public to many fresh, original voices in the world of literature, and it continues its ongoing quest to find and introduce such material.  JEF publishes a general fiction issue bi-annually, as well as new novels that would most likely find themselves locked out by larger presses who have no time for nor interest in innovation anymore.",No,
The Louisville Review Corporation,http://www.louisvillereview.org,"Magazine, Press","Creative Nonfiction, Fiction, Poetry, Cross Genre Hybrid, Experimental",1976,"Louisville, KY",Flora K. Schildknecht,Associate Editor,"Since its start in 1976, the goal of the The Louisville Review continues to be to import the best writing to local readers in Kentucky, to export the best local writers to a national readership, and to juxtapose the work of established writers with new writers. Each poem and story submitted to TLR is judged entirely on its own merit whether the author is already nationally known or previously unpublished. TLR publishes previously unpublished poetry, short fiction, and short essays. Our special Cornerstone section in each issue features poetry by young writers in grades K-12 from the United States and abroad.  Founded in 1996 after twenty years of continuous print publication of The Louisville Review and named to celebrate the life of Founding Editor Sena Jeter Naslund’s mother, Flora Lee Sims Jeter, Fleur-de-Lis Press publishes first books by writers published in The Louisville Review and by winners of The Louisville Review’s national contests. To date, Fleur-de-Lis Press has published over twenty titles with endorsements by renowned authors including Richard Blanco, Fred Chappell, Billy Collins, Mark Doty, Jeffrey Harrison, Silas House, Maxine Kumin, Tim O’Brien, Molly Peacock, Melissa Pritchard, and Maura Stanton.",No Charges Writers A Submission/Reading Fee no Contests no,
The Lune,http://poetsonearth.com/,Chapbook,"Fiction, Poetry, Essays, Reviews, Translation, Visual Art",2015,"Boulder, CO",Joseph Braun,Editor,Dauntless Satellite Guardian of Humanity's Interior Life,No,
The New York Quarterly,http://www.nyq.org,"Magazine, Press","Poetry, Essays",1969,"New York, NY",Raymond Hammond,,"The mission of The New York Quarterly Foundation, Inc. is to be the independent voice for all things poetry regardless of any concern other than the craft of the poem itself; to publish prominent and emerging writers; to create an awareness that the benefits of poetry are accessible to everyone; and to provide education and resources for all who want to write and read poetry.",No,
The Poetry Box,https://thepoetrybox.com,Press,Poetry,2012,"Portland, OR",Shawn Aveningo Sanders,publisher/ editor,"Mission:
To bring the art of poetry to everyone—not only to other writers and poets—but to broaden the audience overall, by:  • publishing relevant, relatable, imaginative work
 • providing a platform for poets to share their words with a live audience during our book launch celebrations  Vision:
By curating work that stirs the senses, we hope to bring beautiful books into the world that will not only rejuvenate the spirit but also inspire engagement with our fellow humans across the globe.",No Charges Writers A Submission/Reading Fee no Contests no,
The Song Cave,http://www.the-song-cave.com,Press,"Poetry, Essays, Translation, Visual Art",2009,"Brooklyn, NY",Alan Felsenthal,Publisher,"The Song Cave is dedicated to recovering a lost sensibility and creating a new one by publishing books of poetry, translations, art criticism, and making art prints and other related materials.",No Charges Writers A Submission/Reading Fee no Contests no,
The Telling Room,https://www.tellingroom.org/,Press,"Fiction, Poetry, Audio, Essays, Graphic Novels Comics, Visual Art",2006,"Portland, Maine",Rylan Hynes,Communications and Editorial Director,"At The Telling Room, we empower youth through writing and share their voices with the world. As a literary arts education organization focused on young writers ages 6 to 18, we seek to build confidence, strengthen literacy skills, and provide real audiences for our students. We believe that the power of creative expression can change our communities and prepare our youth for success both now and in the future.  The Telling Room is a leader in youth publishing, an emerging niche of the publishing industry and a unique and inspiring model in the field of literary arts education and creative youth development. We produce carefully edited, beautifully designed, and locally printed books of our students’ stories, poems, and personal narratives.",No Charges Writers A Submission/Reading Fee no Contests no,
the Thieving Magpie,https://thievingmagpie.org,"Online, Press","Fiction, Poetry, Autobiography Memoir, Essays, Visual Art",2017,"Sherman Oaks, CA",M.I. Shokrian,Publisher/Editor-In-Chief,"Since 2017, the mission of the Thieving Magpie has been to provide a platform that nurtures and brings together a community of creative individuals and to advance the literary and visual arts by publishing an accessible digital (and hopefully print) quarterly loaded with fiction, poetry, essays, art and photography by writers and artists worldwide - whether established, emerging or underrepresented; by publishing these works in all formats on all available platforms; and by inspiring public creativity, participation and appreciation of the arts.  By nature, magpies find gems in unusual and unexpected places.  We seek out literary mischief and store our findings in our nest of mayhem to inspire our community.",No Charges Writers A Submission/Reading Fee no Contests no,
